Constituencies, CANDIDATE NAME , PARTY , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
Bhusawal,6 Gita Prashant Khachane,IND,2157,4.56%,307797,
Bhusawal,7 Nilesh Amrut Suralkar,MNS,2095,2.18%,307797,
Bhusawal,8 Satish Bhika Ghule,IND,1572,1.43%,307797,
Bhusawal,9 Rakesh Sahebrao Wakade,BSP,970,1.39%,307797,
Bhusawal,10 Yamuna Dagadu Rote,IND,917,1.04%,307797,
Bhusawal,11 Kailash Gopal Ghule,IUML,882,0.64%,307797,
Bhusawal,12 Ajay Jivram Ingle,BMUP,806,0.61%,307797,
Bhusawal,13 Nilesh Raju Devghatole,IND,501,0.59%,307797,
Bhusawal,TOTAL,NA,150654,0.54%,NA,
Jalgaon City,1 Suresh Damu Bhole (Rajumama),BJP,113310,0.33%,401328,
Jalgaon City,2 Abhishek shantaram patil,NCP,48464,48.95%,401328,
Jalgaon City,3 Shafi A. Nabi Shaikh,VBA,6330,62.21%,401328,
Jalgaon City,4 NOTA,NOTA,4998,26.61%,401328,
Jalgaon City,5 Adv. Jamil Abdul Rauf Deshpande,MNS,3481,3.48%,401328,
Jalgaon City,6 Ashok Shridhar Shimpi,BSP,1214,2.74%,401328,
Jalgaon City,7 Shivram Magar Patil,IND,1169,1.91%,401328,
Jalgaon City,8 Vandana Prabhakar Patil,MAHKRS,909,0.67%,401328,
Jalgaon City,9 Lalit (BANTY) Gaurishankar Sharma,IND,501,0.64%,401328,
Jalgaon City,10 ANIL PITAMBAR WAGH (SIR),IND,420,0.50%,401328,
Jalgaon City,11 Prof. Dr. ASHISH S. JADHAV (HAPPY MIRROR),IND,390,0.28%,401328,
Jalgaon City,12 Maya Budha Ahire,IND,374,0.23%,401328,
Jalgaon City,13 Gokul Ramesh Chavan,IND,364,0.21%,401328,
Jalgaon City,14 Surwade Gaurav Damodar,BMUP,203,0.21%,401328,
Jalgaon City,TOTAL,NA,182127,0.20%,NA,
Jalgaon Rural,1 GULABRAO RAGHUNATH PATIL,SHS,105795,0.11%,315672,
Jalgaon Rural,2 ATTARADE CHANDRASHEKHAR PRAKASH,IND,59066,45.38%,315672,
Jalgaon Rural,3 PUSHPA DNYANESHWAR MAHAJAN,NCP,17962,53.33%,315672,
Jalgaon Rural,4 DESHMUKH JITENDRA BABURAO (RAVI BHAU),IND,5830,29.78%,315672,
Jalgaon Rural,5 MUKUNDA ANANDA ROTE,MNS,2635,9.06%,315672,
Jalgaon Rural,6 NOTA,NOTA,2382,2.94%,315672,
Jalgaon Rural,7 PRADIP BHIMRAO MOTIRAYA,IND,1362,1.33%,315672,
Jalgaon Rural,8 SAMBHAJI KADU KOLI,IND,1129,1.20%,315672,
Jalgaon Rural,9 SANJAY PANNALAL BAVISKAR (KOLI),BSP,905,0.69%,315672,
Jalgaon Rural,10 DILIP RAJARAM PATIL (KADGAONKAR),PWPI,629,0.57%,315672,
Jalgaon Rural,11 LAXMAN GANGARAM PATIL (LUCKY TAILOR),IND,357,0.46%,315672,
Jalgaon Rural,12 SONAWANE ISHWAR UTTAM,IND,311,0.32%,315672,
Jalgaon Rural,TOTAL,NA,198363,0.18%,NA,
Amalner,1 Anil Bhaidas Patil,NCP,93757,0.16%,293648,
Amalner,2 Shirish Dada Hiralal Chaudhari,BJP,85163,62.84%,293648,
Amalner,3 Shravan Dharma Vanjari,VBA,1909,50.71%,293648,
Amalner,4 NOTA,NOTA,1503,46.06%,293648,
Amalner,5 Anil (Daji) Bhaidas Patil,IND,1061,1.03%,293648,
Amalner,6 Ankalesh Machindra Patil,MNS,528,0.81%,293648,
Amalner,7 Ramkrishna Vijay Bansode (Bhaiyasaheb),BSP,498,0.57%,293648,
Amalner,8 Sandip Yuvraj Patil,IND,487,0.29%,293648,
Amalner,TOTAL,NA,184906,0.27%,NA,
Erandol,1 CHIMANRAO RUPCHAND PATIL,SHS,82650,0.26%,280441,
Erandol,2 ANNASAHEB DR. SATISH BHASKARRAO PATIL,NCP,64648,62.97%,280441,
Erandol,3 SHIROLE GOVIND EKNATH,IND,24587,46.33%,280441,
Erandol,4 GAUTAM MADHUKAR PAWAR,VBA,2303,36.24%,280441,
Erandol,5 NOTA,NOTA,1995,13.78%,280441,
Erandol,6 RAHUL RAGHUNATH PATIL,IND,793,1.29%,280441,
Erandol,7 SANJAY LAXMAN LOKHANDE,BSP,635,1.12%,280441,
Erandol,8 PROF. PRATAPRAO RAMDAS PAWAR,IND,506,0.44%,280441,
Erandol,9 ABASAHEB CHIMANRAO PATIL,IND,258,0.36%,280441,
Erandol,TOTAL,NA,178375,0.28%,NA,
Chalisgaon,1 Mangesh Ramesh Chavan,BJP,86515,0.14%,345660,
Chalisgaon,2 Deshmukh Rajiv Anil,NCP,82228,63.61%,345660,
Chalisgaon,3 Morsing Gopa Rathod,VBA,38429,39.69%,345660,
Chalisgaon,4 Dr.Vinod Murlidhar Kotkar,IND,4617,37.73%,345660,
Chalisgaon,5 NOTA,NOTA,1677,17.63%,345660,
Chalisgaon,6 Rakesh Lalchand Jadhav,MNS,1399,2.12%,345660,
Chalisgaon,7 Onkar Pitambar Kedar,BSP,1301,0.77%,345660,
Chalisgaon,8 Vinod Madhav Sonawane,IND,1005,0.64%,345660,
Chalisgaon,9 Umesh Prakash Karpe,IND,782,0.60%,345660,
Chalisgaon,TOTAL,NA,217953,0.46%,NA,
Pachora,1 Kishor Appa Patil,SHS,75699,0.36%,315444,
Pachora,2 Amol Panditrao Shinde,IND,73615,63.05%,315444,
Pachora,3 Dilip Onkar Wagh,NCP,44961,37.58%,315444,
Pachora,4 Naresh Pandit Patil,VBA,3214,36.55%,315444,
Pachora,5 NOTA,NOTA,1724,22.32%,315444,
Pachora,6 Rajendra Suresh Chaudhari (Rana),IND,947,1.60%,315444,
Pachora,7 Santosh Fakira More,BSP,669,0.86%,315444,
Pachora,8 Mango Pundalik Pagare,BAHUMP,588,0.47%,315444,
Pachora,TOTAL,NA,201417,0.33%,NA,
Jamner,1 Girish Dattatraya Mahajan,BJP,114714,0.29%,308952,
Jamner,2 Sanjay Bhaskarrao Garud,NCP,79700,63.85%,308952,
Jamner,3 Bhimrao Namdeo Chavan,VBA,6471,54.95%,308952,
Jamner,4 Vijay Jagan Tanvar,RaJPa,2118,38.18%,308952,
Jamner,5 NOTA,NOTA,2105,3.10%,308952,
Jamner,6 ‍Dr. Vijayanand Arun Kulkarni,MNS,1439,1.01%,308952,
Jamner,7 Shaktivardhan Shantaram Surwade,BSP,673,1.01%,308952,
Jamner,8 Gajanan Ramkrushna Mali,IND,659,0.69%,308952,
Jamner,9 Pavan Pandurang Bande,IND,514,0.32%,308952,
Jamner,10 Vasant Ramu Ingale,IND,372,0.32%,308952,
Jamner,TOTAL,NA,208765,0.25%,NA,
Muktainagar,1 Chandrakant Nimba Patil,IND,91092,0.18%,290175,
Muktainagar,2 Khadse Rohini Eknathrao,BJP,89135,67.57%,290175,
Muktainagar,3 Rahul Ashok Patil,VBA,9751,46.42%,290175,
Muktainagar,4 NOTA,NOTA,1806,45.43%,290175,
Muktainagar,5 Bhagawan Damu Ingale,BSP,1585,4.97%,290175,
Muktainagar,6 Sanju Kadu Ingale,BMUP,1403,0.92%,290175,
Muktainagar,7 Jyoti Mahendra Patil,IND,888,0.81%,290175,
Muktainagar,8 Sanjay Pralhad Kandelkar,IND,560,0.72%,290175,
Muktainagar,TOTAL,NA,196220,0.45%,NA,
Malkapur,1 Ekade Rajesh Panditrao,INC,86276,0.29%,268718,
Malkapur,2 Chainsukh Madanlal Sancheti,BJP,71892,67.62%,268718,
Malkapur,3 Dr. Nandurkar Nitin Vasantrao,VBA,12549,46.32%,268718,
Malkapur,4 Gawhad Vijay Pralhad,IND,9876,38.60%,268718,
Malkapur,5 NOTA,NOTA,1854,6.74%,268718,
Malkapur,6 Pramod Yadav Tayade,BSP,1021,5.30%,268718,
Malkapur,7 Ab. Majid Qureshi Ab. Kadir,IND,633,1.00%,268718,
Malkapur,8 Baliram Krushna Dhade,IND,600,0.55%,268718,
Malkapur,9 Shaikh Aabid Shaikh Bashir,IND,541,0.34%,268718,
Malkapur,10 Avkash Kailas Borse,IND,464,0.32%,268718,
Malkapur,11 Pravin Ramesh Gawande,IND,310,0.29%,268718,
Malkapur,12 Datta Gajanan Yenkar,IND,236,0.25%,268718,
Malkapur,TOTAL,NA,186252,0.17%,NA,
Buldhana,1 SANJAY RAMBHAU GAIKWAD,SHS,67785,0.13%,306272,
Buldhana,2 VIJAY HARIBHAU SHINDE,VBA,41710,69.31%,306272,
Buldhana,3 HARSHWARDHAN SAPKAL,INC,31316,37.83%,306272,
Buldhana,4 YOGENDRA RAJENDRA GODE,IND,29943,23.28%,306272,
Buldhana,5 MOHD. SAJJAD ABDUL KHALIK,AIMIM,3792,17.48%,306272,
Buldhana,6 ABDUL RAJJAK ABDUL SATTAR,BSP,2914,16.71%,306272,
Buldhana,7 NOTA,NOTA,1088,2.12%,306272,
Buldhana,8 VIJAY RAMKRUSHNA KALE,IND,650,1.63%,306272,
Buldhana,TOTAL,NA,179198,0.61%,NA,
Chikhli,1 SHWETA VIDYADHAR MAHALE,BJP,93515,0.36%,295018,
Chikhli,2 BONDRE RAHUL SIDDHAVINAYAK,INC,86705,58.51%,295018,
Chikhli,3 ASHOK SHIVSINGH SURADKAR,VBA,9661,48.16%,295018,
Chikhli,4 PARVEEN BI SAYYED HARUN,BSP,1109,44.65%,295018,
Chikhli,5 NOTA,NOTA,1035,4.98%,295018,
Chikhli,6 DEVANAND PANDURANG GAWAI,IND,551,0.57%,295018,
Chikhli,7 RAJENDRA VISHVANATH JAWANJAL,IND,507,0.53%,295018,
Chikhli,8 ABDUL SALIM ABDUL NOORMOHAMMAD MEMAN,IND,415,0.28%,295018,
Chikhli,9 DADARAO SHRIRAM PADGHAN,IND,274,0.26%,295018,
Chikhli,10 IMRAN KHAN UMAR KHAN,IND,226,0.21%,295018,
Chikhli,11 DAGDUBA SHANKAR SALVE,IND,184,0.14%,295018,
Chikhli,TOTAL,NA,194182,0.12%,NA,
Sindkhed Raja,1 DR. RAJENDRA BHASKARRAO SHINGANE,NCP,81701,0.09%,312571,
Sindkhed Raja,2 Khedekar Dr.Shashikant Narsingrao,SHS,72763,65.82%,312571,
Sindkhed Raja,3 SAVITA SHIVAJI MUNDHE,VBA,39875,40.58%,312571,
Sindkhed Raja,4 NOTA,NOTA,1616,36.14%,312571,
Sindkhed Raja,5 SHIVSHANKAR DATTATRAY WAYAL,BSP,1315,19.81%,312571,
Sindkhed Raja,6 BHAGWAT DEVIDAS RATHOD,IND,922,0.80%,312571,
Sindkhed Raja,7 SHRIKRUSHNA UTTAM DOLAS,IND,789,0.65%,312571,
Sindkhed Raja,8 Rajendra Uttamrao Shingne,IND,643,0.46%,312571,
Sindkhed Raja,9 Pravin Kumar Shriram More,IND,622,0.39%,312571,
Sindkhed Raja,10 BHAI VIKAS NANDVE,IND,615,0.32%,312571,
Sindkhed Raja,11 Eknath Narendra Deshmukh,IND,454,0.31%,312571,
Sindkhed Raja,TOTAL,NA,201315,0.31%,NA,
Mehkar,1 Sanjay Bhaskar Raymulkar,SHS,112038,0.23%,293549,
Mehkar,2 Adv.Anant Sakharam Wankhede,INC,49836,64.41%,293549,
Mehkar,3 Aabarao Shriram Wagh,VBA,8050,64.09%,293549,
Mehkar,4 NOTA,NOTA,2241,28.51%,293549,
Mehkar,5 Anil Devrao Khadse,BSP,1411,4.60%,293549,
Mehkar,6 Manwatkar Laxman Krishnaji,IND,1240,1.28%,293549,
Mehkar,TOTAL,NA,174816,0.81%,NA,
Khamgaon,1 AKASH PANDURANG FUNDKAR,BJP,90757,0.71%,280436,
Khamgaon,2 DNYANESHWAR PURUSHOTTAM PATIL,INC,73789,59.55%,280436,
Khamgaon,3 VASATKAR SHARAD SUKHDEV,VBA,25957,45.80%,280436,
Khamgaon,4 NOTA,NOTA,1873,37.24%,280436,
Khamgaon,5 Adv. DILIP MANOHAR BHAGAT,BSP,1424,13.10%,280436,
Khamgaon,6 MOHMMED AZHAR MOHMMAD SHAUKAT,TPSTP,1294,0.95%,280436,
Khamgaon,7 AZMATULLAH KHAN RAHEMATULLAH KHAN,IND,914,0.72%,280436,
Khamgaon,8 SHABBIRKHAN GULSHERKHAN,IND,679,0.65%,280436,
Khamgaon,9 BHIMRAO HARISHCHANDRA GAWAI,IND,373,0.46%,280436,
Khamgaon,10 UDDHAO ONKAR ATOLE,IND,357,0.34%,280436,
Khamgaon,11 SHYAM BANSILAL SHARMA,IND,340,0.19%,280436,
Khamgaon,12 AKASH DEVIDAS GAWAI,IND,217,0.18%,280436,
Khamgaon,13 RAMESH KESHAORAO KHIRADKAR,IND,197,0.17%,280436,
Khamgaon,TOTAL,NA,198171,0.11%,NA,
Jalgaon Jamod,1 Kute Dr. Sanjay Shriram,BJP,102735,0.10%,289736,
Jalgaon Jamod,2 Dr. Swati Sandeep Wakekar,INC,67504,70.67%,289736,
Jalgaon Jamod,3 Sangitrao Bhaskarrao Bhongal,VBA,29985,50.43%,289736,
Jalgaon Jamod,4 NOTA,NOTA,2232,33.13%,289736,
Jalgaon Jamod,5 Ramesh Dattu Nawthale,BSP,1281,14.72%,289736,
Jalgaon Jamod,TOTAL,NA,203737,1.10%,NA,
Akot,1 Prakash Gunwantrao Bharsakale,BJP,48586,0.63%,285150,
Akot,2 Adv. Santosh Vasant Rahate,VBA,41326,70.32%,285150,
Akot,3 Anil Manikrao Gawande,IND,28183,26.56%,285150,
Akot,4 Bodkhe Sanjay Ramdas,INC,27679,22.59%,285150,
Akot,5 Tushar Najukrao Pundkar,PHJSP,23934,15.41%,285150,
Akot,6 Ramkrushna Laxman Dhigar,IND,3817,15.13%,285150,
Akot,7 Abdul Sadique Abdul Khalique,IND,2947,13.08%,285150,
Akot,8 Gajanan Shantaram Tayade,MPS(T),1288,2.09%,285150,
Akot,9 TOTAL,NOTA,857,1.61%,285150,
Akot,10 Ravindra Madhukar Phate,MNS,792,0.70%,285150,
Akot,11 Santosh Suryabhan Deulkar,PPID,777,0.47%,285150,
Akot,12 Vijay VIitthalrao Kogade,IND,655,0.43%,285150,
Akot,13 Amol Motiram Vyavahare,VMP,600,0.42%,285150,
Akot,14 Mahadev Vishram Wankhade,IND,362,0.36%,285150,
Akot,15 Ashok Kisanrao Thorat,IND,320,0.33%,285150,
Akot,16 Waman Baldev Sarkate,BSP,317,0.20%,285150,
Akot,17 Jitendra Basavant Sable,IND,270,0.17%,285150,
Akot,18 Pramod Ramchandra Khandare,IND,205,0.17%,285150,
Akot,TOTAL,NA,182915,0.15%,NA,
Balapur,1 Nitinkumar Bhikanrao Tale,SHS,69343,0.11%,295885,
Balapur,2 Dr. Dhairyavardhan Haribhau Pundkar,VBA,50555,64.15%,295885,
Balapur,3 Dr. Rahman Khan Haji Kale Khan,AIMIM,44507,35.48%,295885,
Balapur,4 Sangram Gulabrao Gawande,NCP,16497,25.87%,295885,
Balapur,5 Dudhe Tukaram Ukarda,SWP,6262,22.77%,295885,
Balapur,6 NOTA,NOTA,1753,8.44%,295885,
Balapur,7 Atharkha Afasar khan,BMUP,1087,3.20%,295885,
Balapur,8 Vinod Lalsing Jadhav,IND,1075,0.90%,295885,
Balapur,9 Ashwajit Kashiram Sirsat,IND,730,0.56%,295885,
Balapur,10 Varsha Sanjay Bagade,IND,705,0.55%,295885,
Balapur,11 Dinkar Suryabhan Ranbavale,MPS(T),683,0.37%,295885,
Balapur,12 Shaikh Kalim Shaikh Majid,BSP,607,0.36%,295885,
Balapur,13 Sunita Sudhakar Wankhade,PPID,576,0.35%,295885,
Balapur,14 Raees Ahmad Shaikh Noor,IND,471,0.31%,295885,
Balapur,15 Sachin Ganpat Sharma,IND,329,0.29%,295885,
Balapur,16 Nitinkumar Manik Tajane,IND,263,0.24%,295885,
Balapur,TOTAL,NA,195443,0.17%,NA,
Akola West,1 Govardhan Mangilal Sharma @ Lalaji,BJP,73262,0.13%,332220,
Akola West,2 Sajid Khan Mannan Khan,INC,70669,66.05%,332220,
Akola West,3 Madan Bhargad,VBA,20687,43.23%,332220,
Akola West,4 NOTA,NOTA,2617,41.70%,332220,
Akola West,5 Ravindra Ganeshrao Mundhe,IND,531,12.21%,332220,
Akola West,6 Dhananjay Pralhadrao Nalat,BSP,512,1.54%,332220,
Akola West,7 Janardan Narayanrao Kanade,RSSDP,482,0.31%,332220,
Akola West,8 Pro. Suman Madhukar Tirpude,PPID,251,0.30%,332220,
Akola West,9 Shakti Das Kharare,BMUP,244,0.28%,332220,
Akola West,10 Rahul Ashok Jadhao,IND,201,0.15%,332220,
Akola West,TOTAL,NA,169456,0.14%,NA,
Akola East,1 Randhir Pralhadrao Sawarkar,BJP,100475,0.12%,344835,
Akola East,2 Bhade Haridas Pandhari,VBA,75752,51.01%,344835,
Akola East,3 Vivek Ramrao Paraskar,INC,9533,51.97%,344835,
Akola East,4 NOTA,NOTA,2381,39.18%,344835,
Akola East,5 Prafulla Alis Prashant Sahebrao Bharsakal,SBBGP,833,4.93%,344835,
Akola East,6 Ajabrao Ramrao Tale,IND,743,1.23%,344835,
Akola East,7 Priti Pramod Sadanshiv,RPIS,709,0.43%,344835,
Akola East,8 Athawale Sanjay Gopalrao,IND,628,0.38%,344835,
Akola East,9 Harshal Ashok Shirsat,BMUP,616,0.37%,344835,
Akola East,10 Sheshrao Bhaurao Khadse,BSP,485,0.32%,344835,
Akola East,11 Mahendra Ramesh Bhojane,IND,432,0.32%,344835,
Akola East,12 Nikhil Malti Bhonde,PPID,300,0.25%,344835,
Akola East,13 Anil Bapurao Kaple,IND,258,0.22%,344835,
Akola East,14 Ashok Bhimrao Koltake,IND,194,0.16%,344835,
Akola East,TOTAL,NA,193339,0.13%,NA,
Murtizapur,1 Harish Marotiappa Pimpale,BJP,59527,0.10%,321817,
Murtizapur,2 Awachar Pratibha Prabhakar,VBA,57617,56.07%,321817,
Murtizapur,3 Ravikumar Rameshchandra Rathi,NCP,41155,33.92%,321817,
Murtizapur,4 Rajkumar Narayanrao Nachane,PHJSP,8764,32.84%,321817,
Murtizapur,5 Ashish Shankarappa Bare,IND,2445,23.45%,321817,
Murtizapur,6 NOTA,NOTA,1225,4.99%,321817,
Murtizapur,7 Ravi Nagorao Meshram,BSP,850,1.39%,321817,
Murtizapur,8 Gautam Namdeo Kankal,MPS(T),785,0.70%,321817,
Murtizapur,9 Milind Arjun Jamnik,IND,512,0.48%,321817,
Murtizapur,10 Pandurang Moropant Ingale,BVA,499,0.45%,321817,
Murtizapur,11 Baliram Gonduji Ingle,IND,488,0.29%,321817,
Murtizapur,12 Pravina Laxman Bhatkar,BMUP,485,0.28%,321817,
Murtizapur,13 Sudarshan Pralhad Suradkar,PPID,433,0.28%,321817,
Murtizapur,14 Rajesh Tulshiram Khade,IND,391,0.28%,321817,
Murtizapur,15 Dipak Ramchandra Ingle,IND,293,0.25%,321817,
Murtizapur,TOTAL,NA,175469,0.22%,NA,
Risod,1 Amit Subhashrao Zanak,INC,69875,0.17%,308878,
Risod,2 Anantrao Vitthalrao Deshmukh,IND,67734,54.52%,308878,
Risod,3 Dilip Rambhau Jadhao,VBA,34475,34.02%,308878,
Risod,4 Sanap Vishwnath Ashruji,SHS,23075,32.97%,308878,
Risod,5 NOTA,NOTA,1534,16.78%,308878,
Risod,6 Vishwanath Tukaram Shevale,IND,1405,11.23%,308878,
Risod,7 Chetan Wamanrao Ingale,IND,1039,0.75%,308878,
Risod,8 Tasvarkha Gulam Gauskha,IND,988,0.68%,308878,
